MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,ZCR,Centroid,RMS,LS
0.023981233889025216,0.7539797721029077,0.7465889735260054,0.31868214301520226,0.8076095237425533,0.18955024932689912,0.6806156004526096,0.302958216017479,0.32591648684633767,0.46869835384726116,0.07212231113849323,0.7006175791030798,0.2048839892440795,0.5713168114209333,0.2250846129645426,0.6647981012590952,0.21753883189812473,0.1967831065908914,0.2164426468603202,0.710296380838921,0.2418976480029618,0.18139822340721795,0.0067018775768546476,0.0
0.002013328952512053,0.7631574028250414,0.761589784105765,0.3326631705884765,0.8146895169912014,0.14756129215435917,0.7030004159366448,0.3089165199193151,0.39251374801143235,0.5035157515849565,0.02800975672940054,0.6750091578656411,0.17079073680491488,0.6263374865217377,0.2531210738547095,0.6108386973334564,0.16856635552371876,0.15912815773781872,0.2654104196503211,0.7000530329867996,0.24668189394406934,0.16782830724665249,0.005839924982948985,0.0
0.033957637160525175,0.7485995069430932,0.7340899849691457,0.32292152998047224,0.7844828965872744,0.2200643890914597,0.6670829079897466,0.35458817891333055,0.29968576690841686,0.4009898850449935,0.06011651492173133,0.6780066167337819,0.18330708201311768,0.5177337163485273,0.17728031950447856,0.5899978182654453,0.13442965220436978,0.19130575829282342,0.2065181724071984,0.6687055078521463,0.24121859374035343,0.18502414445110188,0.01019023551145833,0.0
0.02115071810080042,0.753311433312444,0.7598362005962174,0.35580188495825005,0.79894729404719,0.17652911749646852,0.6588670547963396,0.3512797104851689,0.3544523358367065,0.49348557947100735,0.04839592687699881,0.6987480335017718,0.1689552961604938,0.5820668831363617,0.25120007864750715,0.6451406055896709,0.15470303656462336,0.12159194787225938,0.19323380090192932,0.6890452855256928,0.22942774245323716,0.17337275133313035,0.013233551093253535,0.0
0.03638501530731392,0.7352999940244813,0.739222466038357,0.35345593389579333,0.7792373409915513,0.1738115164747459,0.6228873924783969,0.3709007992483529,0.30034779536311373,0.37406668349406563,0.08443999352684706,0.7454952821512361,0.20053509996243857,0.5836722363801293,0.25630656853171313,0.5892515810441653,0.1859053396494411,0.30831935438020264,0.2552558301112662,0.5913918678462323,0.2437804802765597,0.1961364279440448,0.0004607829391501984,0.0
0.011619624147931362,0.7657539955536012,0.7436946337140846,0.30722815664413855,0.7943556437580361,0.17360993669099986,0.6989580459518842,0.30538302211554647,0.3285122829666677,0.4842533438068955,0.07926328306555937,0.7044539476751626,0.18604230685721937,0.555987930669738,0.18645865487265487,0.6424080429827371,0.1924413035776017,0.11218261942948529,0.20543219747776723,0.6736743509928752,0.2401691462435943,0.17278816511968773,0.005088347868289033,0.0
0.005652184371443681,0.7577112537404443,0.7624091100075856,0.3387410171618757,0.8319731507077429,0.17419893344359982,0.6746108991650444,0.3136966726336333,0.33203463271578554,0.48199263080363475,0.039742451657468446,0.6793289002691894,0.182224732903357,0.565106732316122,0.24087521136297443,0.6815970445936284,0.19012396561879075,0.21921988593549538,0.21974545389787753,0.6085767241252656,0.24325575652818013,0.16973866597500972,0.00691561942927232,0.0
0.006385027852766729,0.7571910771715262,0.7558507190331567,0.35130578625501546,0.8179975440673811,0.12975939394162403,0.6857376487356892,0.31239619583680867,0.31732732331342023,0.4238741154404982,0.023538620429232233,0.7083533436200031,0.16446255692004522,0.5654280852661493,0.20423824109080255,0.5551456046525166,0.19755156099110216,0.256899432914205,0.2493966705578381,0.6195168598103729,0.2450768565960849,0.1714923218117731,0.006367497765643939,0.0
0.01579550491072185,0.7612722032656977,0.7420892317002596,0.3526856585554056,0.8232955811880555,0.12483023726564653,0.7476863619345507,0.33117123655991076,0.23220022901506188,0.3890255418422101,0.10337049844932208,0.7608821392901677,0.138247210474673,0.5817218090376317,0.25562938583805184,0.46332010690655,0.16139105087548591,0.18337236854681147,0.23687950419438686,0.6218854667324593,0.24260756836841754,0.17010428405217837,0.01058372624795798,0.0
0.012863541171762596,0.757900478501156,0.7509148515859432,0.3763895497864181,0.8263579295030137,0.11288593644265811,0.7113198597484586,0.35354906184110685,0.3074764988817143,0.37755243447565784,0.05955424126026978,0.7549054226293361,0.15075872759454684,0.5814191193384844,0.2918928786955767,0.4842271258876357,0.13807713987306097,0.24294753976029473,0.2071010996538208,0.49618049972538447,0.2327304154577433,0.1683305571547966,0.01001345293849796,0.0
0.03240023417265112,0.7436666395980774,0.7338117367280552,0.35775655613916946,0.8014652597776721,0.15096490718596997,0.6734765818934872,0.39508062711239844,0.32109560151259864,0.412362937303106,0.0677659759488921,0.675786761920178,0.15367408074340377,0.5992008452825496,0.3125177740877699,0.5600904041816478,0.15219969891188787,0.18009298144396024,0.2072093951787844,0.5372246148859936,0.24717575158960312,0.18315156426066,0.012936441545731954,0.0
0.01292458688630339,0.7704342057079994,0.7551483586081706,0.34204463939672747,0.8315627802105701,0.1416253078015708,0.7606350876760021,0.30970122091208635,0.3092140378761689,0.4574731915927334,0.11439852991103489,0.7605889543991323,0.15281856154045798,0.5590696019500333,0.23344043791765423,0.5721202952081648,0.19663471439857125,0.21763668603665043,0.26670996594988416,0.6122550143885492,0.24112599543181615,0.16496127080350545,0.008924386170350136,0.0
0.021449458723166715,0.754622983070896,0.7519468247921904,0.3472595403080284,0.7964744116980382,0.18016230432893052,0.6734183883402056,0.30064920642954895,0.31527252095156305,0.4613120395952353,0.07575303688216288,0.6782067670736142,0.18869802617201772,0.5599854343325051,0.22309584758521667,0.585413963972842,0.19217427870055404,0.20948954126467736,0.23503509926100438,0.5558942768678968,0.2451385888017764,0.1756963041477436,0.009396986510186285,0.0
0.024627079854456793,0.7550984198583343,0.7367397047057783,0.3218351292684427,0.8259713840479506,0.20936272889470608,0.6849392900579463,0.32191747636758755,0.3279919477134453,0.4946661433378378,0.10850847759799205,0.6668085280433009,0.20564529304113133,0.5739445265695281,0.22566429262062976,0.5336794710478464,0.15727257664006375,0.07742350012755118,0.17381034294529243,0.5344873206873215,0.24476819556762727,0.17442876729859244,0.011753146556369557,0.0
